孫運璿 vs 陳水扁,HatePolitics
國王的新衣,HatePolitics
沈老大在53台，婊dpp的4個影片片段,HatePolitics
徐議員等人批my angel財產片段 (大話新聞),HatePolitics
安西教練：「三井，你負責投外線！」,HatePolitics
羞身 歧家 滯國 貧天下,HatePolitics
打趴皇親國戚 邱毅爆紅到北京大學,HatePolitics
改的不好請見諒!陋室銘之趙建銘版!,HatePolitics
民進黨的反撲...,HatePolitics
阿扁向人民報告－收視率走勢圖,HatePolitics
後中華民國書 卷一 扁帝記,HatePolitics
後中華民國書 卷二 珍后記,HatePolitics
後中華民國書 卷三 護國聖女記,HatePolitics
後中華民國書 卷四 婊哥記,HatePolitics
後中華民國書 卷五 駙馬記（一）,HatePolitics
後中華民國書 卷五 駙馬記（二）,HatePolitics
後中華民國書 卷五 駙馬記 本傳,HatePolitics
後中華民國書 卷六 扁奴記,HatePolitics
妓者 請不要再污衊我同學,HatePolitics
罪不及xx,HatePolitics
"執政成績單,六年總結版",HatePolitics
我不知道該用什麼主題,HatePolitics
閒來打開本日報紙看到的笑話,HatePolitics
(真正的爆料!!!)  ☆☆☆ 稗官野史★★★★,HatePolitics
全民洗腦,HatePolitics
民進黨的未來,HatePolitics
接任板主後的些許心情,HatePolitics
我心愛的民主進步黨...,HatePolitics
呆完皇城記之凱道爭鋒   第一集,HatePolitics
其實我認為未來的政局i,HatePolitics
a12361510,HatePolitics
新板主自我介紹,HatePolitics
其實我認為未來的政局iii,HatePolitics
為何不想支持國民黨的原因,HatePolitics
挺許財力＝愛基隆,HatePolitics
媽祖婆不愛台灣,HatePolitics
汪先生....,HatePolitics
總統欣慰地說。。,HatePolitics
宋楚瑜 vs 馬英九 超級比一比,HatePolitics
台灣中國比一比??,HatePolitics
"可笑的""轉型正義""",HatePolitics
民退黨自打嘴巴實錄,HatePolitics
關於教育 (給藍綠鐵騎們),HatePolitics
身為軍人的悲哀，認命點吧！,HatePolitics
一座鳥園的故事,HatePolitics
馬英九要負責>///<,HatePolitics
馬19兒子沒當兵事件,HatePolitics
其實我認為未來的政局iv,HatePolitics
解散國會對國會局勢不會有大影響,HatePolitics
席次分析,HatePolitics
民進黨高雄遊行發走路工了,HatePolitics
這張照片挺有趣的!,HatePolitics
阿貶之道,HatePolitics
誰該下台,HatePolitics
論證無恥馬英囧下台!!,HatePolitics
如果兩岸真的統一.....,HatePolitics
我實在搞不懂 認同問題,HatePolitics
農村的致命坑洞  ◎吳音寧,HatePolitics
伊是咱的寶貝,HatePolitics
謝大炳跟吳敦義對高雄的貢獻,HatePolitics
政治家關心下一代，政客關心下一次選舉,HatePolitics
阿騙果然記恨18啪,HatePolitics
說到未來政局...   國際篇,HatePolitics
剛從南鯤鯓回來....,HatePolitics
我要被退學了啦!（2）,HatePolitics
南鯤鯓現在.....,HatePolitics
幹  真他媽的無聊,HatePolitics
2100搞笑版,HatePolitics
關於sogo案起訴的問題,HatePolitics
2100全民開講的大概演進...,HatePolitics
許定你給我跪下!,HatePolitics
「三三」來遲的中秋恨文,HatePolitics
你有受過專業的扁奴訓練嘛!!!,HatePolitics
201x年國慶新聞,HatePolitics
紅軍 泛綠 與 鄉民,HatePolitics
年底台北市選情預測,HatePolitics
台灣島的悲哀,HatePolitics
宋楚瑜,HatePolitics
關於死人錢之事,HatePolitics
台北市罷免統計 part 2,HatePolitics
挺扁&倒扁,HatePolitics
公司下市了，股東回家吧,HatePolitics
不要臉的立委諸公,HatePolitics
為什麼我們要關心政治?!,HatePolitics
很有趣,HatePolitics
幹xx.的倒扁衣~!!,HatePolitics
天下嘴泡何其多,HatePolitics
永和的人民同意了這個決定!,HatePolitics
永和的人民同意了這個決定!,HatePolitics
豪洨新聞--黨產換罷免‧大家攏歡喜,HatePolitics
永和的人民同意了這個決定!,HatePolitics
2026年的報紙頭版頭：南北台再次建交,HatePolitics
豪洨新聞--主席成耗材？民勁黨主席難產,HatePolitics
"第n共和國,請以大韓民國為借鏡",HatePolitics
"第n共和,再看法國例子",HatePolitics
軍方要買f16c/d戰機？ 翔昇計畫可能被迫 …,HatePolitics
探討對立來源,HatePolitics
關於台北車站特定區,HatePolitics
舊聞共賞(其實是灌水xd),HatePolitics
20xx年台灣國小學社會課本第一章,HatePolitics
高雄也要跳出來獨立,HatePolitics
重出江湖的不負責任估票報告 升級不穩定 …,HatePolitics
20xx年台灣國小學社會課本第三章,HatePolitics
政黑板的解決方案,HatePolitics
死腰子，不是西遊記,HatePolitics
20xx年台灣國小學社會課本第四章,HatePolitics
20xx年台灣國小學社會課本第五章,HatePolitics
大陸宣布 採購台灣滯銷香蕉,HatePolitics
20xx年台灣國小學自然課本第一章,HatePolitics
後中華民國書 卷八 視姦記,HatePolitics
台灣國憲法,HatePolitics
20xx年台灣國小學社會課本第六章,HatePolitics
20xx年台灣國小學社會科第一次期中測驗,HatePolitics
20xx年台灣國小學社會科第一次期中測驗 …,HatePolitics
高雄市這幾年的都市景觀變化,HatePolitics
講到軍購,HatePolitics
關於錢,HatePolitics
20xx年台灣國小學社會課本第七章,HatePolitics
馬式風格 意外的穩定力量,HatePolitics
後中華民國書 皋月小記,HatePolitics
馬式風格 意外的穩定力量,HatePolitics
20xx年台灣國小學社會課本第八章,HatePolitics
我突然覺得很難過~~,HatePolitics
愛台灣之政黑大逃殺 》第一回,HatePolitics
台灣的步槍,HatePolitics
選舉王~,HatePolitics
智障杜阿勝,HatePolitics
有沒有政黑版版眾喜歡鬧別版 …,HatePolitics
20xx年台灣國小學社會課本第九章,HatePolitics
"為什麼有些人住在台灣 卻強調自己在""中華民國""?",HatePolitics
愛台灣之政黑大逃殺 》第三回,HatePolitics
軍購真的急迫到非要外購?,HatePolitics
20xx年台灣國小學社會課本第十章,HatePolitics
看不見的貪腐,HatePolitics
看不見的貪腐2,HatePolitics
不負責任估票報告 升級不穩定版 v1.02(1 …,HatePolitics
愛台灣之政黑大逃殺 》第四回,HatePolitics
愛台灣科技--隨身碟篇,HatePolitics
騙子陳其邁 再次欺騙台灣人,HatePolitics
民進黨白痴語錄,HatePolitics
無能卻想兩面討好的馬英九,HatePolitics
臺北地方法院檢察署國務機要費起訴書,HatePolitics
最高道德標準學理八大演變,HatePolitics
又沒有宣判，泛藍是在高興什麼？,HatePolitics
20xx年台灣國小學社會課本第十一章,HatePolitics
明年元旦的報紙新聞,HatePolitics
【課後練習】愛台灣的觀點來看國務機要費案,HatePolitics
共業？,HatePolitics
國民黨的錫安計劃,HatePolitics
陳水扁的戲法大解構,HatePolitics
做為台灣人總統的委屈與無奈,HatePolitics
國務機要費和首長特別費,HatePolitics
是誰要民進黨某些人喝采的??,HatePolitics
家裡來了一個僕人,HatePolitics
"大家都誤會阿扁了,他要救台灣!",HatePolitics
續台資治通鑑本末　扁府記　時丙戌年秋,HatePolitics
不負責任估票報告 升級不穩定版 v1.03(1 …,HatePolitics
該不該重灌電腦……,HatePolitics
來 那我們來談謊言,HatePolitics
政黑都是偏藍嗎??,HatePolitics
後中華民國書 卷九 扁帝遭難記,HatePolitics
政黑都是偏藍嗎??,HatePolitics
許財利向全基隆市民報告之一,HatePolitics
我愛黑澀會  上課囉,HatePolitics
阿扁,HatePolitics
20xx年台灣國小學社會課本第十二章,HatePolitics
20xx年台灣國數學教育方針,HatePolitics
20xx年台灣國小學社會科第二次期中測驗,HatePolitics
喝醉的伯母,HatePolitics
20xx年台灣國小數學課本第一章,HatePolitics
20xx年台灣國小學英語課本第一課,HatePolitics
20xx年台灣國小學英語課本第二課,HatePolitics
羊群選擇天敵的經典寓言,HatePolitics
愛台灣之政黑大逃殺 》第五回,HatePolitics
理髮師,HatePolitics
好孩子故事讀本part1,HatePolitics
跟本就是換了隻餓了50年的獅子,HatePolitics
看了火鳳之後看政治,HatePolitics
hatepolitics可能要倒版了,HatePolitics
約談教戰守則,HatePolitics
講坦白話民進黨根本無力治國,HatePolitics
辯論會心得,HatePolitics
北高二市長選舉,HatePolitics
不負責任估票報告 升級不穩定版 v1.04(1 …,HatePolitics
選擇決定命運,HatePolitics
愛台灣之政黑大逃殺 》第六回,HatePolitics
有沒有選舉致富的八卦,HatePolitics
馬英九的特支費..可以列入薪支所 …,HatePolitics
「馬利兄弟」,HatePolitics
反省..? 不如下臺!,HatePolitics
特支費使用概略細節,HatePolitics
愛台灣之政黑大逃殺 》第七回,HatePolitics
特支費使用概略細節 第一次更新板,HatePolitics
南島語族源自中國福建,HatePolitics
20xx年台灣國小學社會課本第十三章,HatePolitics
20xx年台灣國小學社會課本第十四章,HatePolitics
愛台灣動態道德標準示範(￣▽￣＃)﹏﹏,HatePolitics
陳水扁與馬英九,HatePolitics
"唱衰有用,臺灣早就是世界第一了",HatePolitics
奧運場館建設,HatePolitics
不負責任估票報告 升級不穩定版 v1.06(1 …,HatePolitics
寧勿劉銘傳,HatePolitics
20xx年台灣國小學社會課本第十五章,HatePolitics
不負責任估票報告 升級不穩定版 v1.07(1 …,HatePolitics
台灣真民主，真講人權,HatePolitics
台北換新衫,HatePolitics
有沒有病畜板的八卦,HatePolitics
你的阿罵沒錯,HatePolitics
高雄人好像還是滿挺扁的,HatePolitics
阿福把高雄搞這麼爛 還有人要護航!?,HatePolitics
馬宋傳密會,HatePolitics
阿福把高雄搞這麼爛 還有人要護航!?,HatePolitics
愛台灣之政黑大逃殺 》第八回,HatePolitics
北高市長選舉,HatePolitics
市長候選人如何思春?《性工作表態大揭露》,HatePolitics
愛臺灣測驗,HatePolitics
宋楚瑜這白癡,HatePolitics
高雄人不是只要賺錢而已~,HatePolitics
陳水扁，變臉。,HatePolitics
馬19問心無愧,HatePolitics
愛台灣之政黑大逃殺 》第九回,HatePolitics
20xx年台灣國小學社會課本第十六章,HatePolitics
台灣演義,HatePolitics
高雄市議員選舉名單,HatePolitics
讓我蠻驚訝的消息...,HatePolitics
國民黨應該要有以下的調整方向,HatePolitics
奇怪...........,HatePolitics
國民黨做票 卑鄙,HatePolitics
遠期估票 2008大選,HatePolitics
挽救國民黨的7招,HatePolitics
實在不喜歡戰南北,HatePolitics
國族主義痼結的台灣？,HatePolitics
看完墨攻的心得（有雷）,HatePolitics
什麼是愛台灣???,HatePolitics
【假新聞】衛生署比照大麻增列四種「特等毒品」,HatePolitics
終於不能體罰的一天來臨了,HatePolitics
終於不能體罰的一天來臨了,HatePolitics
中研院砸300萬 幫李遠哲慶生,HatePolitics
永久豁免權？　太扯！！,HatePolitics
國務機要費旁聽的一些收穫,HatePolitics
國務機要費旁聽的一些收穫,HatePolitics
善良的台灣人覺醒吧,HatePolitics
很鳥的馬英九,HatePolitics
激鬥！藍綠無雙（第一版） ptt平台發售,HatePolitics
寶山爆炸「聚落活化」之謊言拆穿的引爆술…,HatePolitics
關於板規,HatePolitics
中國千年傳統文化能否復活？,HatePolitics
三國bbs 長江兩岸板,HatePolitics
大話新聞第四十三回：段阿康舌戰群儒， …,HatePolitics
司法已死！！！,HatePolitics
小安安的二十歲日記,HatePolitics
小安安的二十五歲日記(真相大白篇),HatePolitics
小安安的二十五歲日記,HatePolitics
今天，你愛台灣了嗎 (一),HatePolitics
20xx年台灣國小學社會課本第十七章,HatePolitics
今天，你愛台灣了嗎 (二),HatePolitics
實驗日誌 i,HatePolitics
今天，你愛台灣了嗎 (三),HatePolitics
阿片等下十一點要被絞死了,HatePolitics
揭開time是統媒的秘密,HatePolitics
為什麼反串能夠流行.,HatePolitics
今天，你愛台灣了嗎 (四),HatePolitics
豬油烏龍一籮筐(六月份不完整版),HatePolitics
年底立委選舉,HatePolitics
20xx年台灣國小學社會課本第十八章,HatePolitics
李安完蛋了，李安不礙台灣,HatePolitics
七百七十年前的行政院長是這樣的,HatePolitics
賣橘子與賣臭豆腐的,HatePolitics
先道歉者有利???,HatePolitics
皇后之賦,HatePolitics
哪一個比較恐怖？,HatePolitics
露奶馬又一隻,HatePolitics
三式機龍試營運期暴走現象析論,HatePolitics
中x電信,HatePolitics
【愛台灣檢驗表】,HatePolitics
好樣的加菲貓,HatePolitics
對聯,HatePolitics
白血皇后與七個小矮人,HatePolitics
呆完成語解釋新版,HatePolitics
如何不讓藍蛆到處亂版？,HatePolitics
也玩對聯,HatePolitics
這網頁實在是...嘖嘖,HatePolitics
國都不國了還刪什麼國父 (蠕動～),HatePolitics
十年後高中歷史課本大翻修的新聞,HatePolitics
藍綠無雙之  寶藏巖攻防戰,HatePolitics
猴子也能架電台,HatePolitics
藍綠無雙之  翠山莊討伐戰,HatePolitics
yourcongress,HatePolitics
立委選區決定版,HatePolitics
專訪前總統李登輝全文（下）,HatePolitics
"阿輝""被盜帳號""(???)的真相",HatePolitics
藍綠無雙之  寶藏巖攻防戰兵棋推演,HatePolitics
代原作者po個文..有關政黑大逃殺..,HatePolitics
李登輝接受自由時報專訪全文,HatePolitics
看了hatepolitics，開了眼。。。。,HatePolitics
民進黨版本桃園縣選區劃分自婊！！！！,HatePolitics
愛台灣心理測驗,HatePolitics
專給大陸客的【台灣特色旅遊團】,HatePolitics
小兩口打架,HatePolitics
正名之後還有什麼東西可以搞?,HatePolitics
馬參選的情況,HatePolitics
板上的人都能自省嗎???,HatePolitics
未來選戰的幾個重點,HatePolitics
慶祝馬英九被起訴主題曲,HatePolitics
請讓我們向偉大的游主席致敬！,HatePolitics
2016年游總統本紀,HatePolitics
王又增總統當選感言,HatePolitics
油諸席參選感言,HatePolitics
基本上，馬英九是當定總統了,HatePolitics
政黑燎原1,HatePolitics
最近班上在選模範生...,HatePolitics
正宗台灣十六張麻將,HatePolitics
請問一下，住在金門馬祖的是什麼人??,HatePolitics
馬囧也搞台獨!!,HatePolitics
愛台灣之政黑大逃殺 》第十回,HatePolitics
"二二八不應被遺忘, 但不容被扭曲",HatePolitics
你不知道的游阿牛,HatePolitics
台獨都是喊假的,HatePolitics
2008年5月20日總統就職演說全文,HatePolitics
【全台怪病探索】又有一人發病了,HatePolitics
超馬悍將游主席凱歸 蘇揆讚許台灣之光,HatePolitics
228有啥好吵的,HatePolitics
支持民進黨的理由,HatePolitics
膽宗痛代言礙呆丸,HatePolitics
228事件最荒謬的地方,HatePolitics
愛台灣之政黑大逃殺 》第十一回,HatePolitics
有沒有馬英九228下旨殺人的八卦？,HatePolitics
蔣介石在歷史上的惡行總覽...,HatePolitics
3rd world farmer第三世界生活體驗,HatePolitics
香港大公報相當看重游主席,HatePolitics
中正紀念堂 中正紀念堂 拜拖不要拆圍牆 …,HatePolitics
阿牛總統電子報第一期 - 我的教育政策,HatePolitics
在野黨就是孬...,HatePolitics
台灣教育...,HatePolitics
昨晚發生的事 嚇死我了啦!!!!,HatePolitics
加藤鷹!!!!!!!!!!   元宵晚上的恐怖經씠…,HatePolitics
關於誹謗的幾個注意事項,HatePolitics
幹 嚇死我!!! 剛剛去看流星 居然...... …,HatePolitics
親民黨: 審慎評估馬交配的可能性,HatePolitics
星座的故事!!!    幹 嚇死我!!!!!!!!!! …,HatePolitics
吟詩作對 操!!嚇死我!!!!!!!!,HatePolitics
只有民進黨最沒資格罵紅衫軍擾民暴民xd,HatePolitics
施壓海關六立委選情,HatePolitics
小孩子!!!  嚇死我!!!!!!!!!!!!!!!!!!,HatePolitics
一堆人開始吹捧王金平！,HatePolitics
許添財不起訴書,HatePolitics
操 嚇死我!! 洗溫泉!!!,HatePolitics
買進口車也要愛台灣,HatePolitics
告人事件的前因後果 以及其影響,HatePolitics
操你媽的豬力倫,HatePolitics
最近有奇怪的房屋仲介來騷擾,HatePolitics
此八卦涉及嚴重的政治味 在數字版會被水 …,HatePolitics
白色情人節 嚇死我!!!!!!!!!!!!!!!!!!! …,HatePolitics
民進黨登記參選立委名單之台南縣,HatePolitics
衝衝衝大危機?,HatePolitics
